"art" "gebiet" "bhd" "alter"
"FI" "C" NA 58
"FI" "B" 24 62
"EI" "B" 22 28
"BU" "B" 27 44
"FI" "A" 21 37
"FI" "C" 25 61
"BU" "C" 26 27
"TA" "C" 27 21
"BU" "B" 23 40
"FI" "A" 17 34
"EI" "D" 31 49
"FI" "D" 23 64
"EI" "D" 30 53
"BU" "A" 38 75
"FI" "D" 30 78
"BU" "D" 22 37
"FI" "A" 27 73
"BU" "C" 27 47
"TA" "D" 32 20
"TA" "B" 24 24
"BI" "A" 13 28
"EI" "C" 22 47
"BU" "B" 23 42
"EI" "A" 17 34
"BU" "C" 20 31
"FI" "A" 19 43
"EI" "C" 22 54
"FI" "B" 16 26
"EI" "D" NA 53
"BI" "C" 12 22
"BU" "A" 34 83
"FI" "D" 27 74
"TA" "B" 28 22
"BU" "B" 34 49
"FI" "B" 18 34
NA "C" 21 40
"BU" "D" 27 48
NA "B" 27 69
"EI" "A" 24 60
"EI" "D" 30 49
"EI" "A" 24 62
"EI" "D" 20 24
"EI" "D" 20 28
"BI" "C" 11 19
"FI" "B" 20 41
"FI" "A" 24 38
"BU" "B" 24 46
"FI" "D" 25 32
"BU" "B" 28 56
"EI" "B" 21 33
"BU" "D" 30 48
"BU" "B" 18 28
"FI" "D" 22 38
"EI" "D" 17 45
"BU" "C" 23 37
"BU" "D" 32 53
"EI" "D" 22 33
"FI" "B" 24 48
"BU" "C" NA 52
"BU" "A" 29 57
"BU" "B" 27 42
"BU" "D" 13 16
"FI" "B" 25 58
"BU" "B" 32 69
"FI" "A" 24 39
"BU" "D" 25 26
"TA" "A" 18 21
"EI" "D" 27 63
"BU" "B" 20 27
"BU" "D" 26 50
"FI" "D" 19 31
"FI" "B" 20 47
"EI" "A" 24 44
"BU" "D" 28 62
"FI" "D" 18 30
"FI" "B" 21 49
"BU" "B" 30 47
"TA" "A" 22 24
"BU" "B" 32 48
"FI" "B" 19 35
"BU" "A" 27 54
"BI" "A" 16 41
"FI" "D" 23 45
"FI" "A" 25 69
"BU" "A" 41 65
"FI" "A" 28 51
"BU" "B" 29 44
"BI" "B" 11 17
"FI" "D" 25 50
"FI" "C" 23 40
"FI" "C" 24 65
"FI" "C" 22 38
"EI" "A" 22 26
"BU" "C" 21 35
"BU" "B" 34 52
"EI" "A" 35 62
"FI" "D" 29 82
"BU" "C" 23 32
"BU" "D" 30 61
"BI" "B" 13 21
"FI" "C" 25 62
"FI" "A" 25 63
"EI" "A" 30 74
"BU" "D" 28 37
"BU" "D" 29 52
"FI" "D" 20 38
"FI" "C" 23 59
"BU" "A" 34 54
"EI" "A" 26 60
"EI" "A" 13 21
"EI" "A" 32 55
"FI" "C" 26 60
"EI" "A" 27 56
"FI" "C" 23 47
"FI" "D" 22 54
"FI" "D" 27 73
"BU" "C" 25 43
"FI" "A" 23 39
"FI" "B" 20 46
"FI" "B" 23 56
"BU" "C" 33 61
"BU" "B" 28 34
"BU" "C" 29 53
"FI" "A" 25 65
"BU" "C" 22 30
"FI" "B" 24 51
"BI" "B" 15 27
"EI" "B" 23 39
"FI" "D" 26 73
"EI" "B" 16 25
"TA" "D" 26 30
"FI" "B" 23 43
"FI" "D" 25 45
"BU" "B" 29 37
"EI" "B" 23 36
"BU" "C" 26 34
"BU" "B" 28 52
"BU" "A" 27 45
"BU" "B" 30 48
"EI" "D" 32 81
"BU" "C" 26 40
"BU" "D" 37 84
"EI" "B" 35 69
"TA" "C" 27 37
"EI" "B" 22 40
"FI" "B" 23 58
"FI" "C" 23 49
"BU" "D" 32 45
"FI" "D" 24 44
"FI" "A" 25 61
"BI" "D" 16 37
"TA" "B" 23 32
"BU" "D" 45 91
"TA" "C" 39 42
"BU" "B" 26 42
"EI" "A" 26 46
"FI" "B" 21 49
"FI" "C" 23 47
"EI" "C" 18 27
"EI" "D" 12 23
"EI" "C" 19 39
"BI" "A" 15 41
"BU" "C" 25 36
"EI" "C" 14 23
"BU" "D" 36 50
"FI" "D" 29 59
"FI" "B" 21 65
"EI" "B" 20 23
"BU" "A" 45 73
"FI" "C" 23 52
"TA" "A" 33 36
"FI" "A" 24 53
"BU" "D" 28 46
"FI" "B" 31 52
"BU" "D" 29 40
"FI" "A" 25 57
"EI" "B" 29 55
"BU" "B" 26 35
"EI" "C" 33 53
"BU" "B" 22 34
"BU" "A" 34 66
"EI" "B" NA 56
"BU" "B" 27 43
"FI" "A" 19 51
"BU" "C" 29 45
"EI" "A" 27 53
"BU" "C" 30 47
"EI" "A" 27 46
"BU" "D" 26 54
"BU" "D" 29 53
"BU" "B" 31 41
"BI" "D" 15 36
"BI" "A" 18 44
"BU" "A" 35 58
"FI" "C" 21 38
"BU" "B" 22 30
"EI" "A" 14 26
"FI" "C" 19 36
"FI" "A" 25 64
"EI" "A" 27 34
"EI" "C" 23 44
"BU" "B" 30 45
"EI" "A" 13 26
"FI" "A" 26 77
"FI" "C" 23 41
"BU" "D" 27 39
"FI" "B" 22 64
"FI" "C" 24 56
"BU" "B" 25 32
"FI" "B" 24 53
"FI" "C" 25 56
"EI" "A" 25 38
"BI" "B" 14 30
"BU" "A" 31 70
"FI" "A" 28 84
"BU" "A" 20 34
"FI" "A" 24 44
"EI" "D" 24 54
"BU" "C" 19 30
"BU" "C" 29 61
"FI" "D" 28 52
"BU" "C" 30 58
"EI" "D" 28 47
"EI" "D" 22 47
"BU" "C" 27 49
"BI" "C" 15 27
"FI" "C" 20 37
"BU" "A" 33 57
"EI" "B" 23 31
"FI" "A" 25 73
"FI" "B" 20 45
"FI" "C" 27 63
"BU" "A" 15 20
"EI" "C" 23 41
"EI" "B" 24 44
"FI" "B" 21 35
"BU" "A" 28 54
"FI" "D" NA 57
"EI" "A" 22 32
"BU" "A" NA 63
"EI" "D" 34 63
"BU" "C" 32 56
"BU" "D" 31 45
"EI" "D" 37 45
"BU" "B" 22 41
"BU" "B" 22 30
"FI" "D" 23 43
"EI" "A" NA 25
"EI" "D" 30 52
"FI" "A" 24 59
"FI" "A" 22 35
"FI" "D" 25 54
"FI" "D" 21 40
"FI" "B" 23 59
"BU" "D" 31 36
"FI" "B" 23 49
"FI" "C" 24 37
"FI" "D" 26 78
"EI" "B" 20 39
"FI" "D" 21 44
"BU" "D" 37 59
"FI" "C" 23 55
"EI" "A" 17 32
"TA" "C" 18 18
"BI" "B" 12 16
"EI" "D" 21 22
"BU" "A" 27 42
"EI" "D" 15 31
"BU" "B" 23 39
"EI" "C" 28 67
"EI" "C" 38 52
"EI" "C" 25 44
"EI" "A" 22 39
"EI" "A" 21 40
"EI" "A" 18 25
"EI" "A" 24 42
"BU" "B" 21 39
"TA" "D" 25 26
"EI" "C" 12 26
"TA" "C" 29 31
"BU" "D" 28 59
"EI" "D" 20 37
"BI" "C" 12 23
"BU" "B" 34 62
"BU" "C" 26 37
"BU" "D" 28 40
"BI" "B" 11 20
"FI" "C" 24 58
"FI" "B" 22 51
"FI" "C" 22 48
"EI" "C" 23 24
"BU" "C" 26 24
"EI" "A" 32 66
"TA" "D" 29 35
"BI" "C" 15 31
"FI" "A" 24 58
"FI" "B" 24 57
"TA" "A" 34 36
"BU" "C" 21 28
NA "C" 28 54
"EI" "C" 22 55
"BU" "A" 27 46
"BU" "D" 25 39
"BU" "A" 21 27
"EI" "D" 30 45
"BU" "C" 33 63
"EI" "B" 13 24
"EI" "D" 29 63
"EI" "B" 15 31
"EI" "A" 13 23
"BU" "B" 28 37
"FI" "C" 31 75
"EI" "B" 21 39
"EI" "B" 17 35
"FI" "B" 22 66
"BU" "B" 25 38
"EI" "B" 24 31
"FI" "B" 18 40
"BU" "A" 32 58
"BU" "B" 29 55
"EI" "C" 15 21
"EI" "B" 13 20
"BU" "B" 26 39
"FI" "D" 28 46
"FI" "C" 30 76
"BU" "A" 24 43
"BU" "C" 27 44
"EI" "B" 21 38
"FI" "A" 25 57
"FI" "B" 22 51
"BI" "D" 11 16
"EI" "B" 24 40
"FI" "A" 21 37
"EI" "C" 26 35
"FI" "C" 21 33
"FI" "B" 22 36
"BU" "A" 26 51
"EI" "B" 23 44
"EI" "A" 34 62
"BU" "C" 33 64
"EI" "A" 24 37
"BU" "D" 26 47
"BI" "D" 13 19
"EI" "B" 19 45
"BU" "A" 32 62
"BU" "A" 30 54
"EI" "C" 22 47
"TA" "B" 22 22
"FI" "B" 24 63
"BI" "B" 9 13
"BU" "A" 30 47
"FI" "B" 25 72
"FI" "A" 26 53
"FI" "A" 27 91
"FI" "A" 24 45
"TA" "D" 47 37
"FI" "D" 27 81
"FI" "B" 27 55
"BU" "C" 25 35
"FI" "C" 26 64
"BU" "B" 34 71
"BI" "A" 15 28
"BU" "D" 27 44
"BU" "B" 32 62
"EI" "A" 27 65
"EI" "A" 25 54
"EI" "A" 24 40
"EI" "B" 16 32
"BU" "C" 19 29
"FI" "B" NA 68
"BU" "C" 28 41
"FI" "B" 21 53
"BU" "C" 19 31
"EI" "C" 16 34
"BU" "D" NA 46
"BI" "A" 13 13
"FI" "B" 29 94
"BU" "C" 30 49
"BU" "A" 27 42
"EI" "B" 30 57
"BI" "D" 19 40
"FI" "D" 22 51
"EI" "A" 25 62
"BU" "C" 26 43
"FI" "C" 22 30
"FI" "A" 31 NA
"BU" "C" 35 52
"FI" "D" 22 55
"EI" "C" 30 70
"FI" "C" 23 56
"EI" "D" 25 44
"BU" "A" 29 38
"FI" "A" 21 44
"FI" "C" 22 46
"FI" "B" 18 43
"FI" "C" 22 63
"FI" "C" 20 34
"BU" "A" 38 70
"FI" "D" 25 38
"EI" "D" 17 33
"TA" "D" 40 30
"EI" "B" 15 30
"FI" "D" 22 46
"FI" "B" 21 36
"FI" "C" 28 NA
"EI" "A" 25 56
"FI" "A" 22 37
"FI" "A" 20 30
"BU" "A" 33 65
"FI" "C" 21 45
"FI" "C" 22 52
"FI" "B" 20 30
"BU" "D" 30 51
"BI" "C" 13 17
"EI" "A" 21 35
"BI" "A" 16 26
"BI" "B" 15 28
"TA" "A" 31 31
"EI" "B" 26 37
"EI" "B" 26 31
"FI" "D" 25 47
"BU" "C" NA 39
"BU" "B" 32 58
"BU" "A" 25 32
"BU" "A" 28 53
"EI" "B" 14 24
"BU" "D" 35 71
"EI" "B" 20 34
"EI" "D" 9 12
"FI" "B" 30 71
"BU" "B" 33 66
"EI" "D" NA 41
"EI" "A" 25 48
"EI" "A" 30 51
"EI" "B" 15 17
"BU" "B" 25 48
"BI" "B" 14 26
"BI" "A" 13 25
"FI" "D" 26 64
"EI" "C" 20 43
"FI" "C" 21 42
"FI" "A" 21 52
"EI" "C" 40 66
"FI" "B" 22 49
"TA" "A" 30 26
"EI" "B" 2 1
"FI" "D" 21 41
"EI" "D" 30 49
"BU" "A" 30 55
"FI" "D" 26 60
"BU" "B" 26 36
"FI" "D" 24 41
"EI" "D" 25 NA
"EI" "C" 23 70
"BU" "C" 31 63
"FI" "B" 25 44
"FI" "A" 25 60
"EI" "A" 25 44
"EI" "A" 29 68
"TA" "C" 3 5
"FI" "B" 24 56
"BU" "C" 20 35
"BU" "A" 28 42
"FI" "B" 21 43
"EI" "B" 34 69
"FI" "A" 26 43
"BU" "C" 19 31
"BU" "C" 30 68
"FI" "A" NA 44
"FI" "D" 29 85
"EI" "C" 17 30
"BI" "D" 14 28
"FI" "A" 22 50
"FI" "D" 31 67
"FI" "B" 23 49
"TA" "C" 35 44
"BU" "B" 30 37
"EI" "D" 30 37
"FI" "D" NA 48
"FI" "C" 21 44
NA "C" 22 31
"EI" "D" 40 91
"TA" "C" 29 27
"EI" "A" 23 55
"EI" "A" 27 46
"BU" "B" 21 26
"BI" "B" 12 27
"EI" "A" 21 33
"EI" "D" 22 40
"BI" "C" 13 20
"BI" "C" 14 17
"EI" "B" 21 35
"EI" "C" 26 52
"BI" "A" 18 37
"BU" "B" 25 42
"EI" "D" 23 23
"EI" "D" 30 51
"FI" "D" 22 63
"EI" "D" 41 85
"EI" "B" 29 57
"FI" "C" 23 49
"BU" "D" 35 57
"BU" "C" 28 NA
"FI" "A" 23 58
"FI" "C" 23 59
"BU" "C" 26 42
"FI" "D" 27 60
"BU" "C" 23 33
"BU" "D" 33 61
"EI" "D" 28 30
"BU" "B" 28 47
"BU" "A" 31 51
NA "C" 21 45
"BU" "B" 25 44
"FI" "C" 23 46
"BU" "D" 27 49
"FI" "B" 31 81
"EI" "A" 19 39
"EI" "B" 11 24
"FI" "B" 20 33
"BU" "A" 22 27
"BU" "A" 24 33
"EI" "A" 24 45
"FI" "C" 22 57
"BU" "C" 39 64
"FI" "B" 20 57
"BU" "A" 25 NA
"FI" "A" 24 61
"EI" "C" 24 44
"FI" "B" 24 53
"TA" "D" 37 37
"EI" "B" 15 33
"FI" "D" NA 43
"EI" "A" 17 27
"BU" "B" 30 38
"BI" "D" 13 26
"FI" "A" 19 48
"EI" "B" 35 64
"TA" "C" 28 27
"BI" "B" 15 28
"BU" "C" 40 67
"BI" "B" 12 24
"BI" "B" 17 42
"FI" "A" 28 67
"BU" "A" 36 94
"BI" "D" 15 29
"BU" "D" 25 39
"BU" "B" 30 49
"BU" "D" 33 74
"FI" "A" 21 43
"BU" "B" 19 29
"TA" "B" 21 29
"FI" "B" 26 49
"FI" "C" 20 51
"BU" "C" 19 25
"FI" "C" 18 45
"TA" "D" 29 32
"BU" "D" 32 71
"BU" "D" 36 67
"BU" "B" 32 59
"TA" "B" 30 28
"FI" "B" 25 66
"FI" "D" 27 66
"FI" "B" 24 63
"BU" "A" 15 20
"FI" "B" 23 50
"EI" "C" 15 25
"EI" "A" 18 43
"BU" "D" 30 54
"FI" "D" 24 39
"BU" "C" 29 42
"FI" "C" 22 67
"EI" "B" 13 17
"BI" "A" 16 23
"FI" "C" 24 59
"FI" "B" 25 56
"EI" "D" 9 17
"FI" "C" 25 42
"BI" "A" 13 25
"FI" "B" 21 52
"FI" "C" 27 56
"BU" "B" 32 57
"FI" "C" 23 53
"FI" "C" 32 80
"BU" "B" 25 39
"EI" "C" 23 69
"BU" "B" 31 47
NA "C" 28 37
"FI" "B" 28 76
"TA" "C" 19 21
"EI" "D" 15 27
"EI" "D" 31 56
"BU" "A" 33 61
"EI" "D" 23 49
"FI" "B" 19 41
"FI" "A" 26 85
"EI" "D" 25 46
"EI" "C" 16 31
"BU" "A" 35 68
"BU" "C" 36 80
"BU" "D" 28 NA
"BU" "A" 28 48
"EI" "A" 29 56
"BU" "D" 35 65
"FI" "A" 28 79
"EI" "A" 24 30
"BU" "B" 32 NA
"FI" "A" 17 NA
"FI" "D" 23 43
"EI" "C" 29 NA
"EI" "D" 17 21
"FI" "D" 23 53
"BU" "C" 31 54
"TA" "A" 30 21
"EI" "A" 37 69
"FI" "C" 23 66
"FI" "D" 26 73
"FI" "B" 27 66
"BU" "C" 29 58
"BU" "C" 23 36
"TA" "B" 26 37
"EI" "B" 28 51
"FI" "C" 26 55
"EI" "C" 28 68
"EI" "A" 17 28
"BU" "D" 40 77
"FI" "C" 24 38
"BU" "D" 23 39
"TA" "A" 35 36
"TA" "B" 28 26
"EI" "D" 25 38
"EI" "B" 28 39
"FI" "B" 25 57
"BI" "B" 14 30
"BU" "C" 27 57
"BU" "A" 28 36
"BU" "D" 34 62
"BI" "B" 11 20
"EI" "C" 26 52
"EI" "B" 15 24
"EI" "D" 20 50
"BU" "B" 25 45
"FI" "D" 23 35
"EI" "C" 31 57
"BU" "C" 34 66
"BU" "A" 27 52
"BI" "B" 14 28
"EI" "C" 31 32
"EI" "B" 13 28
"EI" "B" NA 46
"FI" "B" 24 47
"EI" "B" 22 36
"EI" "B" 23 36
"FI" "D" 29 86
"EI" "B" 19 23
"EI" "D" 15 26
"EI" "D" 30 65
"EI" "D" 18 44
"BI" "C" 11 18
"FI" "D" 21 41
"TA" "C" 33 29
"BU" "D" 25 32
"BU" "A" 28 31
"BU" "D" 30 48
"FI" "B" 23 59
"FI" "B" 29 80
"FI" "C" 20 54
"FI" "D" 26 49
"EI" "D" 27 42
"FI" "D" 23 56
"BU" "A" 32 56
"EI" "D" 34 89
"EI" "A" 26 52
"EI" "C" 22 38
"FI" "D" 25 57
"BU" "D" 29 49
"BI" "A" 14 27
"BU" "B" 30 48
"FI" "A" 23 53
"EI" "C" 20 39
"FI" "C" 23 65
"BU" "B" 29 36
"BU" "C" 34 41
"FI" "D" 31 108
"BU" "A" 26 50
"FI" "A" 26 62
"BU" "B" 31 41
"EI" "C" 23 38
"BI" "C" 15 38
"FI" "D" 23 52
"BU" "B" 30 58
"TA" "C" 19 24
"BI" "D" 16 31
"FI" "A" 27 60
"BU" "D" 29 44
"EI" "A" 35 44
"FI" "D" 27 76
"EI" "D" 34 60
"EI" "B" 19 45
"BU" "A" 32 76
"BU" "B" 32 37
"FI" "B" 25 54
"FI" "D" 21 44
"TA" "D" 23 16
"BI" "D" 14 21
"BU" "B" 26 46
"FI" "A" 25 67
"BU" "C" 27 40
"BU" "D" 30 48
"EI" "D" 21 46
"FI" "D" 30 77
"BU" "C" 33 44
"FI" "D" 24 45
"BU" "B" 31 44
"FI" "A" 29 85
"BU" "C" 30 57
"EI" "C" 30 65
"EI" "B" 23 40
"EI" "A" 24 29
"EI" "B" 25 36
"EI" "D" 39 43
"EI" "A" 15 24
"FI" "D" 23 48
"BI" "B" 15 29
"FI" "D" 23 48
"EI" "A" 23 50
"BU" "B" 23 38
"FI" "C" 26 38
"BU" "A" 39 85
"TA" "C" 42 49
"BU" "D" 30 45
"EI" "A" 32 90
"BU" "A" 19 26
"BI" "D" 17 32
"FI" "B" 29 NA
"FI" "A" 25 57
"EI" "C" 28 44
"EI" "B" 24 40
"EI" "A" 22 61
"BU" "B" 26 51
"TA" "A" 31 40
"FI" "B" 19 37
"BU" "B" 30 49
"BU" "D" 26 44
"FI" "B" 23 55
"FI" "D" 27 65
"FI" "A" 23 47
"BU" "B" 25 46
"BU" "D" 30 63
"FI" "A" 28 62
"EI" "A" 21 31
"BI" "C" 18 34
"TA" "B" 30 28
"FI" "D" 29 42
"BU" "B" 33 55
"FI" "D" 29 74
"BI" "B" 11 17
"BI" "C" 16 35
"EI" "D" 19 32
"BU" "A" 34 59
"FI" "B" 22 50
"FI" "A" 30 68
"EI" "B" 35 67
"BU" "A" 36 60
"TA" "A" 37 42
"FI" "D" 22 48
"FI" "A" 27 47
"BU" "C" 32 47
"FI" "A" 26 53
"BU" "B" 32 43
"EI" "D" 35 83
"EI" "D" 11 14
"FI" "C" 22 41
"BI" "D" 15 23
"BI" "B" 14 27
"BI" "D" 12 19
"EI" "A" 22 43
"BU" "A" 35 80
"BU" "D" 33 71
"BI" "D" 11 17
"BU" "A" 25 45
"FI" "D" 25 64
"BI" "A" 18 38
"BU" "B" 42 74
"FI" "D" 26 40
"EI" "C" 36 68
"FI" "D" 25 72
"FI" "D" 25 79
"BU" "A" 37 77
"EI" "B" 25 52
"FI" "C" 26 59
"EI" "C" 24 29
"FI" "A" 24 56
"FI" "D" 25 66
"BU" "A" 41 77
"BU" "C" 24 44
"BU" "B" 22 42
"FI" "B" 24 49
"FI" "A" 20 46
"FI" "A" 30 57
"BU" "B" 27 29
"BU" "A" 29 53
"BU" "C" 28 37
"TA" "A" 40 49
"BU" "B" 26 39
"BU" "C" 28 51
"FI" "B" 29 39
"FI" "B" 23 47
"FI" "A" 26 37
"BU" "B" 37 62
"BU" "B" 22 40
"EI" "B" 18 37
"BU" "C" 27 32
"BU" "A" 32 58
"FI" "D" 27 79
"FI" "B" 18 32
"BU" "A" 28 30
"FI" "B" 26 43
"FI" "A" 24 60
"FI" "C" 24 47
"BI" "B" 12 19
"TA" "C" 29 39
"TA" "A" 44 39
"FI" "C" 20 34
"EI" "D" 21 37
"EI" "A" 19 36
"EI" "B" 17 29
"EI" "A" 22 52
"BU" "A" 29 60
"BU" "D" 32 62
"TA" "B" 27 27
"BU" "B" 23 39
"FI" "C" 21 44
"FI" "D" 27 72
"EI" "B" 29 62
"FI" "B" 20 50
"FI" "A" 26 71
"EI" "B" 20 40
"BI" "C" 15 35
"BU" "C" 29 44
"BU" "D" 33 57
"FI" "B" 23 52
"EI" "C" 24 40
"TA" "B" 22 17
"FI" "C" 23 56
"BU" "B" 27 40
"FI" "B" 22 42
"EI" "C" 10 12
"BI" "A" 15 24
"EI" "A" 31 59
"FI" "A" 29 80
"FI" "C" 26 75
"BU" "C" 26 42
"FI" "C" 22 42
"FI" "D" 23 55
"FI" "D" 23 63
"TA" "A" 37 38
"BI" "A" 11 22
"EI" "C" 12 21
"BU" "A" 28 39
"BU" "A" 27 42
"BI" "C" 14 35
"FI" "D" NA 88
"BU" "C" 31 45
"FI" "B" 28 83
"FI" "D" 22 24
"BU" "B" 18 27
"BI" "C" 11 24
"BU" "A" 32 64
"EI" "C" 14 24
"BU" "D" 30 59
"FI" "D" 26 58
"TA" "B" 36 39
"EI" "A" 20 48
"FI" "A" 23 54
"FI" "B" 28 79
"BU" "A" 30 53
"FI" "D" 22 58
"EI" "A" 16 16
"FI" "B" 20 39
"FI" "A" 24 34
"BU" "B" 20 36
"FI" "D" 22 52
"EI" "A" 28 55
"FI" "C" 27 72
"FI" "A" 26 50
"TA" "A" 17 14
"BU" "B" 30 55
"EI" "D" NA 18
"BU" "B" 27 54
"BU" "B" 36 67
"BU" "B" 33 23
"BU" "D" 33 50
"FI" "D" 30 47
"BU" "C" 26 45
"EI" "C" 19 37
"FI" "A" 30 37
"TA" "C" 28 24
"FI" "C" 24 61
"FI" "C" 26 42
"BU" "C" 27 36
"BU" "D" 29 52
"EI" "B" 25 53
"EI" "C" 17 40
"BU" "D" 32 41
"BU" "B" 25 44
"EI" "C" 19 43
"TA" "A" 18 24
"FI" "D" 25 65
"BI" "C" 15 34
"BU" "C" 27 44
"FI" "C" 24 63
"EI" "C" 25 46
"BU" "A" 32 63
"BU" "B" 23 33
"BI" "C" 13 25
"FI" "D" 27 53
"BU" "C" 35 62
"BU" "A" 27 35
"BU" "A" 23 33
"FI" "B" 28 57
"BU" "B" 29 42
"FI" "D" 24 61
NA "C" 28 69
"BI" "A" 17 34
"EI" "C" 31 85
"BU" "D" 24 40
"BU" "C" 15 22
"BU" "D" 28 55
"EI" "D" 27 41
"FI" "A" 21 53
"BU" "B" 27 43
"BU" "D" 25 46
"FI" "D" 27 64
"FI" "A" 18 44
"BU" "A" 22 31
"FI" "D" 25 60
"FI" "D" 26 63
"FI" "B" 21 46
"BU" "A" 27 24
"FI" "B" 24 57
"EI" "B" 28 45
"FI" "B" 27 58
"EI" "C" 33 44
"FI" "C" 27 50
"EI" "A" 33 71
"FI" "A" 24 56
"BU" "D" 21 33
"BU" "A" 32 56
"FI" "D" 24 53
"BU" "B" 26 33
"FI" "B" 21 47
"TA" "A" 33 43
"FI" "D" 24 68
"BU" "A" 20 35
"FI" "C" 24 65
"EI" "A" 29 64
"BU" "A" 34 67
"FI" "D" 23 33
"BI" "C" 14 25
"BU" "B" 25 47
"BU" "A" 32 60
"EI" "B" 25 54
"EI" "A" 33 75
"EI" "B" 18 30
"BU" "A" 30 63
"BU" "D" 40 72
"EI" "C" 12 24
"BI" "A" 15 34
"BU" "A" 34 53
"BU" "A" 37 60
"EI" "A" 32 41
"BU" "D" 26 45
"FI" "B" 25 73
"FI" "C" 23 59
"FI" "C" 21 27
"TA" "D" 43 28
"BU" "B" 24 39
"BU" "D" 36 60
"EI" "D" 23 40
"EI" "C" 22 32
"FI" "D" 27 82
"BU" "B" 35 48
"BU" "B" 31 42
"FI" "A" 25 57
"FI" "B" 22 52
"BU" "D" 26 48
"BU" "C" 30 68
"BU" "D" 27 39
"BI" "B" 13 27
"BI" "C" 15 33
"EI" "D" 29 76
"EI" "B" 29 62
"FI" "D" 25 47
"FI" "B" 22 56
"BU" "C" 27 53
"FI" "B" 26 66
"EI" "C" 31 68
"FI" "B" 21 33
"FI" "B" 25 78
"BU" "D" 31 54
"EI" "D" 28 59
"FI" "A" 24 48
"EI" "D" 24 38
"FI" "D" 22 48
"FI" "C" 16 25
"EI" "D" 17 30
"BU" "B" 28 70
"BU" "C" 26 44
"BU" "D" 23 36
"BU" "D" 26 32
"FI" "A" 22 43
"BU" "D" 35 78
"EI" "C" 26 49
"BU" "B" 22 36
"FI" "D" 26 50
"BU" "B" 16 23
"FI" "B" 22 55
"BI" "C" 11 17
"EI" "D" 19 31
"FI" "A" 28 74
"TA" "D" 24 33
"BI" "D" 18 50
"EI" "B" 15 NA
"FI" "C" 31 50
"FI" "A" 22 56
"FI" "B" 16 30
"TA" "D" 46 48
"BU" "B" 30 41
"EI" "B" 31 72
"BU" "A" 40 58
"EI" "A" 27 48
"FI" "D" 27 64
"FI" "B" 29 89
"EI" "B" 20 33
"FI" "A" 29 76
"EI" "C" 18 41
"BU" "D" 30 75
"BU" "A" 24 39
"BU" "C" 30 53
"TA" "D" 31 35
"FI" "D" 20 47
"TA" "C" 22 24
"EI" "D" 16 31
"FI" "B" 25 78
"EI" "B" 11 24
"FI" "A" 27 75
"BU" "D" 28 50
"FI" "C" 20 45
"EI" "D" 26 61
"TA" "B" 34 31
"FI" "D" 22 47
"EI" "B" 15 23
"BU" "A" 27 52
"EI" "B" 20 34
"FI" "A" 24 60
"EI" "C" 20 30
"EI" "C" 20 44
"EI" "C" 23 51
"BU" "B" 24 46
"FI" "D" 26 64
"FI" "D" 24 67
"BU" "A" 40 68
"FI" "C" 24 63
"FI" "B" 28 61
"BU" "C" 34 69
"BU" "C" 30 42
"EI" "A" 18 36
"FI" "A" 27 70
"FI" "B" 28 66
"BU" "D" 31 47
"BU" "B" 33 58
"FI" "D" 24 43
"BU" "D" 36 62
"BU" "B" 30 59
"BU" "D" 34 49
"EI" "B" 17 34
"EI" "B" 18 23
"TA" "D" 31 23
"BU" "D" 34 79
"FI" "D" 27 53
"FI" "A" 26 62
"EI" "D" 35 58
"BU" "A" 36 98
"EI" "A" 24 47
"EI" "A" 19 33
"BU" "A" 24 50
"EI" "D" 24 45
"BU" "A" 33 56
"FI" "B" 23 60
"EI" "B" 29 52
"EI" "B" 22 49
"EI" "D" 35 64
"TA" "C" 25 25
"FI" "C" 23 53
"EI" "D" 24 44
"BU" "D" 29 52
"FI" "B" 26 59
NA "A" 30 56
"FI" "B" 25 52
"EI" "C" 37 79
"BU" "A" 38 70
"FI" "D" 27 66
"FI" "A" 25 48
"EI" "D" 34 53
"BU" "C" NA 39
"EI" "C" 16 37
"EI" "A" 19 30
"EI" "A" 27 55
"FI" "C" 20 48
"BU" "C" 28 46
"FI" "A" 23 57
"FI" "D" 26 54
"BI" "C" 9 14
"FI" "C" 19 38
"FI" "A" 25 50
"TA" "D" 42 39
"BU" "C" 28 50
"BI" "B" 10 14
"EI" "A" 17 41
"EI" "D" 33 81
"EI" "D" 22 50
"EI" "D" 29 73
"EI" "B" 32 53
"BU" "C" 31 67
"FI" "A" 25 56
"FI" "A" 26 59
"FI" "B" 26 52
"EI" "C" 4 6
"FI" "C" 26 67
"FI" "B" 26 55
"BU" "D" 26 50
"EI" "C" 12 29
"BU" "A" 20 26
"FI" "B" 18 36
"BU" "D" 32 40
"EI" "B" 30 NA
"EI" "D" 30 54
"FI" "D" 28 62
"BU" "B" 30 46
"FI" "D" 25 68
"EI" "C" 14 24
"BU" "C" 19 32
"BU" "C" 29 45
"EI" "D" 15 13
"BI" "D" 13 24
"FI" "D" 20 45
"BU" "D" 29 42
"FI" "C" 23 47
"FI" "D" 26 51
"FI" "A" 26 41
"FI" "A" 26 73
"EI" "A" 36 58
"BU" "A" 22 30
"FI" "C" 23 53
"EI" "B" 42 78
"EI" "D" 14 29
"EI" "B" 15 23
"FI" "D" 26 50
"EI" "D" 27 59
"EI" "C" 28 65
"FI" "A" 22 59
"BU" "C" 39 50
"BU" "D" 25 29
"BU" "B" 26 24
